image,method,threshold,shrink,patch_size,sigma,mse,psnr
wemby_gray.png,local,soft,b,9,20,129.68,27.00
wemby_gray.png,local,soft,b,9,30,201.56,25.09
wemby_gray.png,global,hard,v,5,10,16.02,36.09
wemby_gray.png,global,hard,v,5,20,56.11,30.64
wemby_gray.png,global,hard,v,5,30,150.04,26.37
wemby_gray.png,global,hard,v,7,10,17.14,35.79
wemby_gray.png,global,hard,v,7,20,44.50,31.65
wemby_gray.png,global,hard,v,7,30,89.70,28.60
wemby_gray.png,global,hard,v,9,10,18.45,35.47
wemby_gray.png,global,hard,v,9,20,45.74,31.53
wemby_gray.png,global,hard,v,9,30,80.25,29.09
wemby_gray.png,global,hard,b,5,10,86.60,28.76
wemby_gray.png,global,hard,b,5,20,272.98,23.77
wemby_gray.png,global,hard,b,5,30,485.84,21.27
wemby_gray.png,global,hard,b,7,10,87.77,28.70
wemby_gray.png,global,hard,b,7,20,276.04,23.72
wemby_gray.png,global,hard,b,7,30,489.05,21.24
wemby_gray.png,global,hard,b,9,10,88.50,28.66
wemby_gray.png,global,hard,b,9,20,280.22,23.66
wemby_gray.png,global,hard,b,9,30,498.29,21.16
wemby_gray.png,global,soft,v,5,10,134.93,26.83
wemby_gray.png,global,soft,v,5,20,436.45,21.73
wemby_gray.png,global,soft,v,5,30,840.46,18.89
wemby_gray.png,global,soft,v,7,10,94.51,28.38
wemby_gray.png,global,soft,v,7,20,282.74,23.62
wemby_gray.png,global,soft,v,7,30,536.06,20.84
wemby_gray.png,global,soft,v,9,10,79.05,29.15
wemby_gray.png,global,soft,v,9,20,220.65,24.69
wemby_gray.png,global,soft,v,9,30,403.34,22.07
wemby_gray.png,global,soft,b,5,10,58.90,30.43
wemby_gray.png,global,soft,b,5,20,153.25,26.28
wemby_gray.png,global,soft,b,5,30,252.81,24.10
wemby_gray.png,global,soft,b,7,10,58.66,30.45
wemby_gray.png,global,soft,b,7,20,148.71,26.41
wemby_gray.png,global,soft,b,7,30,233.49,24.45
wemby_gray.png,global,soft,b,9,10,58.85,30.43
wemby_gray.png,global,soft,b,9,20,147.20,26.45
wemby_gray.png,global,soft,b,9,30,226.43,24.58
ali_gray.jpg,local,hard,v,5,10,37.36,32.41
ali_gray.jpg,local,hard,v,5,20,105.15,27.91
ali_gray.jpg,local,hard,v,5,30,178.65,25.61
ali_gray.jpg,local,hard,v,7,10,39.67,32.15
ali_gray.jpg,local,hard,v,7,20,96.51,28.28
ali_gray.jpg,local,hard,v,7,30,161.65,26.04
